y_true,y_pred,error,error_pct
2707.0,2738.5571,-31.55712890625,-1.1657602107960843
2757.0,2751.6008,5.399169921875,0.19583496270856005
2718.0,2755.686,-37.68603515625,-1.3865355097958059
2755.0,2767.8997,-12.899658203125,-0.46822715800816694
2725.0,2754.5671,-29.567138671875,-1.0850326118119267
2687.0,2788.916,-101.916015625,-3.792929498511351
2686.0,2788.916,-102.916015625,-3.8315716911764706
2688.0,2789.869,-101.868896484375,-3.7897654942103793
2737.0,2755.52,-18.52001953125,-0.6766539836043113
2755.0,2755.52,-0.52001953125,-0.018875482078039928
2726.0,2723.9194,2.08056640625,0.07632305232024945
2759.0,2719.3528,39.647216796875,1.437014019459043
2806.0,2719.3528,86.647216796875,3.0879264717346757
2792.0,2722.2664,69.733642578125,2.497623301508775
