date,price1,price2
2020-07-21,-2.294207488812699,0.714684413124222
2020-07-22,-2.085923321799913,0.7611514254120424
2020-07-23,-1.4512543442340349,0.7497753219016731
2020-07-24,-1.1055867914447783,0.577088978209499
2020-07-27,-0.6326749856862451,0.6144447221656553
2020-07-28,-0.6516954823919718,0.7662901869458657
2020-07-29,-0.6581169018786409,0.851587005035204
2020-07-30,-0.6389750389101393,0.901406613060848
2020-07-31,-0.48683914642222315,0.9219818097831335
2020-08-03,-0.6140095258025129,1.0253927721903013
2020-08-04,-0.6264143747739533,1.005103392188124
2020-08-05,-0.717844325884074,1.1143496779196456
2020-08-06,-0.7316158652380912,1.0308300947021396
2020-08-07,-1.0564268658854639,0.9957575259958874
2020-08-10,-1.4801458379011276,1.014420567534746
2020-08-11,-1.4094243579422694,0.9964509618676954
2020-08-12,-1.4949107555298522,0.9062281996299189
2020-08-13,-1.5098969471230796,0.9709222313058489
2020-08-14,-1.1467324393751934,0.982603600808683
2020-08-17,-0.9560961286559189,1.0052559443902978
2020-08-18,-0.8808911602377378,1.0672016951699594
2020-08-19,-1.0187680362795848,1.0413242915205938
2020-08-20,-1.0280506249870696,0.9614885037275936
2020-08-21,-1.0758018082318137,1.0105872254321442
2020-08-24,-1.2694772065805413,1.1075923653580628
2020-08-25,-1.318131238175568,1.0447464094984424
2020-08-26,-1.2230809639150835,0.9562911875438684
2020-08-27,-1.2576747828209394,1.0191858171323211
2020-08-28,-1.4801458379011276,1.1525872345858397
2020-08-31,-1.4371157050298333,1.150345824459766
2020-09-01,-1.3562410835810665,1.173205489084029
2020-09-02,-1.2694772065805413,1.1857241421088602
2020-09-03,-1.2576747828209394,1.1030248615149274
2020-09-04,-1.2118106157530903,1.0510825000487378
2020-09-07,-1.0955595682512573,0.8113372959877512
2020-09-08,-0.9914263351950384,0.7666832404619742
2020-09-09,-0.9914263351950384,0.5255636548740488
2020-09-10,-0.7247063888363969,0.4991312929198123
2020-09-11,-0.6201927153768101,0.5539548290886059
2020-09-14,-0.9053364096272191,0.5059001008612802
2020-09-15,-0.25961051212612674,0.5383921407820815
2020-09-16,-0.2682975567638954,0.46380386413654956
2020-09-17,-0.18866746789896335,0.3541491778008259
2020-09-18,-0.11117818479343304,0.44718041659919083
2020-09-21,-0.02206551328789182,0.37656731147994055
2020-09-22,-0.04622716868566084,0.282750807229097
2020-09-23,-0.11491330456887763,0.38148856843408446
2020-09-24,-0.20491284274171237,0.2372187827546553
2020-09-25,-0.22142649403725323,0.2515366059918257
2020-09-28,-0.0854158321436621,0.15021575140491217
2020-09-29,-0.08905578226356105,0.2743301453117901
2020-09-30,-0.11491330456887763,0.23373328872299168
2020-10-09,0.12953425471326446,0.40690317159607037
2020-10-12,0.2083974201526219,0.5838132142692559
2020-10-13,0.24300024625603683,0.7081343662751823
2020-10-14,0.29648493289657796,0.6230518954683756
2020-10-15,0.26882617085662297,0.5045350035725589
2020-10-16,0.2298327828041827,0.46733715359716427
2020-10-19,0.3112551832163862,0.36289285467976895
2020-10-20,0.30143262933621473,0.448534862399131
2020-10-21,0.28901718378662133,0.3703348025796187
2020-10-22,0.26371406872872666,0.21893753493358264
2020-10-23,0.2508182964966538,0.0034466386526875213
2020-10-26,0.2739122722583844,0.05079138328948755
2020-10-27,0.2814932475454152,0.2153437811181019
2020-10-28,0.2915126349858356,0.22256287047013315
2020-10-29,0.313695819978369,0.30436419916348717
2020-10-30,0.3258104448271645,0.07027187514683235
2020-11-02,0.28400752149832387,0.08707896906973517
2020-11-03,0.2029660091147742,0.17833486772610857
2020-11-04,0.2029660091147742,0.11846976716195169
2020-11-05,0.20568540215739817,0.21707221510457733
2020-11-06,0.21110210299482243,0.027781584720970177
2020-11-09,0.12659937182437828,0.18962501727439746
2020-11-10,0.13246054926419862,0.20279196438941577
2020-11-11,0.1411884018815475,0.1484225343014058
2020-11-12,0.1411884018815475,0.0898090986765362
2020-11-13,0.2271783556766041,0.021276256543484494
2020-11-16,0.3820011416123956,0.22085952175653287
2020-11-17,0.3865442359627883,0.1436900977536674
2020-11-18,0.3842752687486578,0.14928333198283997
2020-11-19,0.4155816748413998,0.32366740112640163
2020-11-20,0.4089551748682419,0.3282922854233817
2020-11-23,0.4155816748413998,0.3101588780510381
2020-11-24,0.3797218310318512,0.26767529077443264
2020-11-25,0.34252807675311864,0.09019493220383329
2020-11-26,0.34252807675311864,0.1057214607331534
2020-11-27,0.3589708186749579,0.23566855308639076
2020-11-30,0.4022844713153411,0.16119080455418752
2020-12-01,0.41337771686347236,0.27332390485692354
2020-12-02,0.39781248537455777,0.2998817370441327
2020-12-03,0.3820011416123956,0.36789807391997653
2020-12-04,0.3377800605199865,0.3705747937087969
2020-12-07,0.31613051453237667,0.4428243910806842
2020-12-08,0.27644565507673474,0.3988780121355789
2020-12-09,0.26882617085662297,0.2379282512518159
2020-12-10,0.2814932475454152,0.22399150915799543
2020-12-11,0.2508182964966538,0.10718217187944339
2020-12-14,0.2137994902555447,0.32911656756969543
2020-12-15,0.1697430609111886,0.3003041843716986
2020-12-16,0.2137994902555447,0.3170894245581425
2020-12-17,0.2508182964966538,0.3147647117535304
2020-12-18,0.26371406872872666,0.2493838055390706
2020-12-21,0.28651548972872254,0.4284651185598198
2020-12-22,0.2989618410757826,0.24266189319654327
2020-12-23,0.34725365581818685,0.3647355554647245
2020-12-24,0.3751475646417846,0.3464854866543093
2020-12-25,0.3751475646417846,0.409013129378811
2020-12-28,0.4712432312965208,0.50521969973355
2020-12-29,0.4753992598281752,0.36028651179388915
2020-12-30,0.5259426979816734,0.42896406340254645
2020-12-31,0.5759310623109163,0.49589807967600674
2021-01-04,0.6235391063778012,0.8160622732371828
2021-01-05,0.6181601402676561,1.0043425536105786
2021-01-06,0.6517482623372526,1.0132433710276691
2021-01-07,0.6808734072620383,1.046813941962666
2021-01-08,0.7042378119619125,0.9379541408536701
2021-01-11,0.8045994005290826,0.7537092155600899
2021-01-12,0.8045994005290826,0.8207967041472608
2021-01-13,0.8793221817949227,0.7550137376352684
2021-01-14,0.794100291141544,0.6135465247326506
2021-01-15,0.6672730600316424,0.5867565102977645
2021-01-18,0.6672730600316424,0.6672184175878925
2021-01-19,0.872375097923093,0.5414276817744413
2021-01-20,0.8325535229386143,0.598973589269367
2021-01-21,0.84695823374036,0.7153929960970433
2021-01-22,0.8045994005290826,0.719164023584642
2021-01-25,0.7382916957680465,0.773008104863899
2021-01-26,0.7222201051846231,0.8585600238940172
2021-01-27,0.7254551534198646,0.9415417943307715
2021-01-28,0.6740963546492447,0.8571170569219381
2021-01-29,0.6253256846212528,0.738440151817195
2021-02-01,0.6689832533990858,0.8139535495482948
2021-02-02,0.7108143023341291,0.8768376341890418
2021-02-03,0.7009332765094736,0.9624130557010643
2021-02-04,0.7286797698563254,0.9237044541208058
2021-02-05,0.7758413172832552,0.9243960582389901
2021-02-08,0.8120318443060607,1.0589781108610925
2021-02-09,0.7819647600575329,1.144849199759836
2021-02-10,0.7986134138504518,1.2320274061198668
2021-02-18,0.8267330332653198,1.2079622151042824
2021-02-19,0.8090654924437012,1.315816342378361
2021-02-22,0.8208784670530782,1.2948406813813187
2021-02-23,0.8090654924437012,1.21417158070797
2021-02-24,0.8208784670530782,1.1315185266528724
2021-02-25,0.8540835181618159,1.1137349482988221
2021-02-26,0.8498144427529448,1.0228951850867603
2021-03-01,0.8267330332653198,1.082525157223407
2021-03-02,0.8223453251103594,1.0244751272420365
2021-03-03,0.8194094541620145,1.0367476578632602
2021-03-04,0.8311015735100058,0.8850377216130608
2021-03-05,0.8383403304639261,0.8216903386523597
2021-03-08,0.8340033672662103,0.5837760463874642
2021-03-09,0.8340033672662103,0.38434675744280117
2021-03-10,0.6706905269978338,0.3779890594109641
2021-03-11,0.7895667077797268,0.5044048016732298
2021-03-12,0.814989422943108,0.5029261042376859
2021-03-15,0.6018474324234581,0.30077140366704586
2021-03-16,0.6253256846212528,0.3251615334165342
2021-03-17,0.6395045537799664,0.49196366760839727
2021-03-18,0.5981859626380679,0.5139527486583462
2021-03-19,0.6054955447409555,0.3547018800870634
2021-03-22,0.6395045537799664,0.4382061763465293
2021-03-23,0.6395045537799664,0.38660347419063174
2021-03-24,0.6395045537799664,0.3295252898737478
2021-03-25,0.6359786394429265,0.33842736201888723
2021-03-26,0.6324402490314336,0.4039259570442268
2021-03-29,0.5569993259147813,0.38244650264859814
2021-03-30,0.5120461228652733,0.482050469999453
2021-03-31,0.45867049425146533,0.4071644961356265
2021-04-01,0.49185277214102496,0.4634856160120811
2021-04-02,0.49185277214102496,0.5248872055063389
2021-04-06,0.4459376686020279,0.5052394545073853
2021-04-07,0.4999791101403804,0.45672080446616536
2021-04-08,0.5815413919282998,0.4352992877379175
2021-04-09,0.6000183733249504,0.3570902037803209
2021-04-12,0.5721732793537919,0.2116410086283531
2021-04-13,0.5608144546432773,0.27158225549813075
2021-04-14,0.5908225568747827,0.26363821211036637
2021-04-15,0.6395045537799664,0.24928387871808816
2021-04-16,0.6791834450348131,0.20799160272144643
2021-04-19,0.6842447878567295,0.3865230242934906
2021-04-20,0.6740963546492447,0.4851518383582067
2021-04-21,0.6876048404247023,0.48074087459440773
2021-04-22,0.7124516892310936,0.4675690579865721
2021-04-23,0.7318940215549756,0.5069626220446305
2021-04-26,0.7286797698563254,0.4010177018842108
2021-04-27,0.7414752492143024,0.38952184565710213
2021-04-28,0.7509655474764203,0.41532975167647246
2021-04-29,0.794100291141544,0.5090953798817024
2021-04-30,0.772765477044605,0.5024643097358336
2021-05-06,0.8045994005290826,0.40505976857944975
2021-05-07,0.7758413172832552,0.34727269644726144
2021-05-10,0.7895667077797268,0.2075416530459774
2021-05-11,0.7773756968647626,0.2622086643031227
2021-05-12,0.8090654924437012,0.39982388835568605
2021-05-13,0.6500083124549464,0.27592769457749994
2021-05-14,0.7058859937060715,0.35522859564755344
2021-05-17,0.7124516892310936,0.4608750287015211
2021-05-18,0.7124516892310936,0.4412410295967941
2021-05-19,0.7865328599147657,0.43383014413766907
2021-05-20,0.7205986480075969,0.4465198553569122
2021-05-21,0.7634807808759894,0.3329305145436954
2021-05-24,0.7446486998024962,0.24630746571160675
2021-05-25,0.7302881871318424,0.3694707560265443
2021-05-26,0.6808734072620383,0.32395641232127104
2021-05-27,0.6672730600316424,0.2984903741693859
2021-05-28,0.6808734072620383,0.18991551812352
2021-05-31,0.6604028880232301,0.22383793295749974
2021-06-01,0.6586779447191716,0.2688206208653171
2021-06-02,0.6859262253842094,0.23644060939119407
2021-06-03,0.7124516892310936,0.12938960627221194
2021-06-04,0.6774906219999195,0.18573096966479466
2021-06-07,0.6723948907805873,0.04982964493937215
2021-06-08,0.6342110092622015,0.05109458069956604
2021-06-09,0.6534851900516255,0.010644306378946308
2021-06-10,0.6757949284552467,-0.024330083575656386
2021-06-11,0.6842447878567295,-0.06977440817733813
2021-06-15,0.5981859626380679,-0.23030727287456038
2021-06-16,0.6145580212718963,-0.400397005210489
2021-06-17,0.6288892939413423,-0.5182149697881919
2021-06-18,0.5796747771836029,-0.6286075301217079
2021-06-21,0.52791225191337,-0.8997760266802728
2021-06-22,0.5200106538156463,-0.6609652896989947
2021-06-23,0.506030817991908,-0.5637047446602367
2021-06-24,0.46706985808164236,-0.5967892634607047
2021-06-25,0.4373581473895919,-0.40412528864281433
2021-06-28,0.4373581473895919,-0.017739935020766304
2021-06-29,0.45867049425146533,-0.10802320308379224
2021-06-30,0.3797218310318512,-0.10126880482377892
