date1,price1,date2,price2
22/3/2021,2718,11/3/2021,7673.5315
23/3/2021,2718,12/3/2021,7671.835
24/3/2021,2718,15/3/2021,7461.9994
25/3/2021,2716,16/3/2021,7485.1243
26/3/2021,2714,17/3/2021,7659.3358
29/3/2021,2673,18/3/2021,7684.5464
30/3/2021,2650,19/3/2021,7513.8981
31/3/2021,2624,22/3/2021,7599.9872
1/4/2021,2640,23/3/2021,7545.9415
6/4/2021,2618,24/3/2021,7489.3215
7/4/2021,2644,25/3/2021,7497.9408
8/4/2021,2686,26/3/2021,7563.774
9/4/2021,2696,29/3/2021,7541.7079
12/4/2021,2681,30/3/2021,7648.1503
13/4/2021,2675,31/3/2021,7567.1423
14/4/2021,2691,1/4/2021,7627.4987
15/4/2021,2718,2/4/2021,7697.2907
16/4/2021,2741,6/4/2021,7674.4902
19/4/2021,2744,7/4/2021,7620.0683
20/4/2021,2738,8/4/2021,7596.868
21/4/2021,2746,9/4/2021,7516.2618
22/4/2021,2761,12/4/2021,7382.1312
23/4/2021,2773,13/4/2021,7435.0557
26/4/2021,2771,14/4/2021,7427.8579
27/4/2021,2779,15/4/2021,7414.9961
28/4/2021,2785,16/4/2021,7379.0103
29/4/2021,2813,19/4/2021,7545.8594
30/4/2021,2799,20/4/2021,7651.6378
6/5/2021,2820,21/4/2021,7646.6809
7/5/2021,2801,22/4/2021,7632.0083
10/5/2021,2810,23/4/2021,7676.472
11/5/2021,2802,26/4/2021,7560.7585
12/5/2021,2823,27/4/2021,7548.9242
13/5/2021,2724,28/4/2021,7575.6833
14/5/2021,2757,29/4/2021,7678.9296
17/5/2021,2761,30/4/2021,7671.3057
18/5/2021,2761,6/5/2021,7564.952
19/5/2021,2808,7/5/2021,7506.5815
20/5/2021,2766,10/5/2021,7378.6263
21/5/2021,2793,11/5/2021,7426.5687
24/5/2021,2781,12/5/2021,7559.5232
25/5/2021,2772,13/5/2021,7439.0172
26/5/2021,2742,14/5/2021,7514.4189
27/5/2021,2734,17/5/2021,7624.6253
28/5/2021,2742,18/5/2021,7603.2534
31/5/2021,2730,19/5/2021,7595.295
1/6/2021,2729,20/5/2021,7608.9583
2/6/2021,2745,21/5/2021,7492.6095
3/6/2021,2761,24/5/2021,7412.3522
4/6/2021,2740,25/5/2021,7528.6056
7/6/2021,2737,26/5/2021,7483.9684
8/6/2021,2715,27/5/2021,7459.8654
9/6/2021,2726,28/5/2021,7363.7188
10/6/2021,2739,31/5/2021,7392.6448
11/6/2021,2744,1/6/2021,7432.547
15/6/2021,2695,2/6/2021,7403.6437
16/6/2021,2704,3/6/2021,7314.4832
17/6/2021,2712,4/6/2021,7360.2181
18/6/2021,2685,7/6/2021,7254.1354
21/6/2021,2658,8/6/2021,7255.0578
22/6/2021,2654,9/6/2021,7226.1315
23/6/2021,2647,10/6/2021,7202.0471
24/6/2021,2628,11/6/2021,7171.9851
25/6/2021,2614,15/6/2021,7076.0884
28/6/2021,2614,16/6/2021,6989.9531
29/6/2021,2624,17/6/2021,6938.3205
30/6/2021,2588,18/6/2021,6895.162
1/7/2021,2600,21/6/2021,6807.3366
2/7/2021,2603,22/6/2021,6883.3885
6/7/2021,2603,23/6/2021,6919.9572
7/7/2021,2785,24/6/2021,6907.1167
8/7/2021,2785,25/6/2021,6988.2243
9/7/2021,2785,28/6/2021,7206.5211
12/7/2021,2785,29/6/2021,7147.7206
13/7/2021,2785,30/6/2021,7151.9383
14/7/2021,2605,1/7/2021,7095.264
15/7/2021,2617,2/7/2021,7000.66
16/7/2021,2589,5/7/2021,6964.8142
19/7/2021,2547,6/7/2021,6971.9267
20/7/2021,2522,7/7/2021,6956.4352
21/7/2021,2525,8/7/2021,6853.7683
22/7/2021,2520,9/7/2021,6877.6562
23/7/2021,2523,12/7/2021,6924.6596
26/7/2021,2541,13/7/2021,6992.5523
